CLUSTER_ID,TRAJECTORY_ID,EASTINGS_M,NORTHINGS_M,ALTITUDE_M
1,1,1079136.339,4498008.154,0
1,1,1079037.242,4497834.021,0
1,1,1078977.351,4497726.077,0
1,1,1078952.256,4497683.654,0
1,1,1078935.099,4497656.557,0
1,1,1078910.004,4497646.007,0
1,1,1078886.192,4497657.889,0
1,1,1078848.83,4497682.432,0
1,1,1078826.862,4497695.537,0
1,1,1078820.688,4497723.522,0
1,1,1078839.69,4497751.841,0
1,1,1078850.113,4497779.382,0
1,1,1078852.518,4497813.698,0
1,1,1078856.206,4497849.347,0
1,1,1078865.988,4497910.315,0
1,1,1078885.55,4497966.286,0
1,1,1078899.661,4497996.382,0
1,1,1078903.911,4498036.139,0
1,1,1078886.753,4498047.578,0
1,1,1078858.611,4498062.459,0
1,1,1078838.487,4498075.119,0
1,1,1078815.798,4498088.224,0
1,1,1078788.939,4498104.771,0
1,1,1078746.125,4498131.424,0
1,1,1078715.498,4498151.858,0
1,1,1078640.855,4498197.945,0
1,1,1078607.822,4498217.935,0
1,1,1078570.541,4498242.033,0
1,1,1078530.774,4498266.576,0
1,1,1078490.446,4498292.452,0
1,1,1078429.272,4498330.988,0
1,1,1078388.863,4498355.197,0
1,1,1078346.691,4498382.739,0
1,1,1078276.297,4498426.272,0
1,1,1078217.608,4498464.475,0
1,1,1078172.951,4498491.128,0
1,1,1078125.246,4498521.223,0
1,1,1078037.775,4498576.75,0
1,1,1077992.475,4498605.513,0
1,1,1077908.051,4498657.598,0
1,1,1077780.251,4498738.112,0
1,1,1077700.075,4498791.084,0
1,1,1077662.152,4499290.494,0
1,1,1077501.32,4499734.488,0
1,1,1077501.882,4499791.237,0
1,1,1077504.367,4499831.994,0
1,1,1077531.306,4500004.794,0
1,1,1077514.79,4500035.667,0
1,1,1077493.383,4500077.201,0
1,1,1077441.99,4500228.456,0
1,1,1077443.193,4500384.82,0
1,1,1077444.396,4500422.023,0
1,1,1077445.679,4500458.56,0
1,1,1077446.881,4500491.543,0
1,1,1077448.084,4500515.753,0
1,1,1077447.442,4500551.735,0
1,1,1077447.442,4500587.716,0
1,1,1077447.442,4500630.472,0
1,1,1077446.881,4500661.9,0
1,1,1077448.084,4500699.992,0
1,1,1077339.847,4500848.693,0
1,2,-54150.60686,4645663.997,0
1,2,-54149.40423,4645641.12,0
1,2,-54148.20159,4645617.91,0
1,2,-54150.60686,4645592.812,0
1,2,-54167.12301,4645573.822,0
1,2,-54183.63917,4645564.937,0
1,2,-54161.02968,4645564.937,0
1,2,-54124.3093,4645564.937,0
1,2,-54102.90244,4645564.937,0
1,2,-54075.96347,4645566.159,0
1,2,-54018.47764,4645564.937,0
1,2,-53973.25865,4645566.159,0
1,2,-53942.07038,4645564.937,0
1,2,-53910.88212,4645566.159,0
1,2,-53883.30174,4645569.935,0
1,2,-53860.05085,4645582.706,0
1,2,-53822.76924,4645611.136,0
1,2,-53805.05045,4645625.462,0
1,2,-53787.8929,4645637.344,0
1,2,-53765.28341,4645656.446,0
1,2,-53738.98584,4645675.436,0
1,2,-53702.90687,4645705.976,0
1,2,-53633.15418,4645762.28,0
1,2,-53596.4338,4645775.829,0
1,2,-53540.1506,4645777.161,0
1,2,-53460.05528,4645778.383,0
1,2,-53384.77048,4645778.05,0
1,2,-53342.59817,4645783.491,0
1,2,-53321.19131,4645806.369,0
1,2,-53315.6592,4645838.574,0
1,2,-53316.86184,4645888.993,0
1,2,-53316.30061,4645932.193,0
1,2,-53317.50324,4645971.617,0
1,2,-53317.50324,4646064.347,0
1,2,-53315.09797,4646106.325,0
1,2,-53293.61094,4646138.087,0
1,2,-53261.22004,4646144.417,0
1,2,-53204.93684,4646144.417,0
1,2,-53165.16979,4646144.417,0
1,2,-53082.58902,4646144.417,0
1,2,-53017.16582,4646145.75,0
1,2,-52945.00787,4646145.75,0
1,2,-52867.31781,4646144.417,0
1,2,-52806.1439,4646146.971,0
1,2,-52776.15826,4646158.41,0
1,2,-52761.48615,4646181.287,0
1,2,-52759.00071,4646216.047,0
1,2,-52759.00071,4646241.922,0
1,2,-52759.00071,4646288.454,0
1,2,-52760.28351,4646316.884,0
1,2,-52781.69037,4646333.764,0
1,2,-52814.08127,4646328.767,0
1,2,-52866.11517,4646328.767,0
1,2,-53055.73023,4646328.767,0
1,2,-53460.05528,4646327.434,425
1,2,-54067.46487,4646324.436,425
1,2,-54531.11978,4646327.434,600
1,2,-56832.87821,4646681.585,2250
1,2,-57264.14223,4646871.376,2625
1,2,-57949.24187,4647206.871,3200
1,2,-58343.78551,4647508.604,3475
1,2,-58696.71806,4647968.59,3775
1,2,-59000.74356,4648833.701,4125
1,2,-58174.93591,4651629.707,5200
1,2,-57621.32408,4652192.307,5500
1,2,-56909.36564,4652678.168,5825
1,2,-56122.68363,4653022.658,6125
1,2,-54846.77073,4653261.535,6675
1,2,-51318.4875,4652956.58,8375
